CustomerID,Recency,Frequency,Monetary
ID_104667,5,1,49349.0
ID_114163,142,9,248986.0
ID_100385,7,54,996022.0
ID_104186,12,2,31133.0
ID_105345,3,6,45931.0
ID_102195,3,40,836782.0
ID_114990,103,9,376053.0
ID_112634,177,5,258095.0
ID_101077,5,40,925134.0
ID_106286,10,1,39847.0
ID_105933,4,3,49648.0
ID_118512,31,23,484780.0
ID_119717,47,16,450202.0
ID_113363,167,9,255081.0
ID_108072,143,10,312166.0
ID_117020,54,13,536980.0
ID_109543,109,7,353810.0
ID_119094,38,20,456841.0
ID_113355,152,5,285082.0
ID_118631,44,20,550109.0
ID_102848,4,29,965785.0
ID_112791,233,11,399347.0
ID_107722,13,3,40772.0
ID_100812,1,38,1063943.0
ID_111193,195,8,347734.0
ID_105135,4,2,42013.0
ID_108510,164,8,289706.0
ID_107434,1,3,38384.0
ID_116476,35,17,618807.0
ID_100936,1,39,1011612.0
ID_111965,127,11,399838.0
ID_101692,3,31,1031530.0
ID_106216,8,3,46791.0
ID_109459,186,5,263414.0
ID_112527,141,9,302012.0
ID_115484,50,17,627409.0
ID_105792,11,4,14579.0
ID_112266,157,10,330519.0
ID_102221,4,32,875118.0
ID_115757,43,15,508483.0
ID_104693,10,5,32648.0
ID_110108,178,7,369485.0
ID_105107,10,3,43050.0
ID_113480,152,9,261815.0
ID_104745,9,5,40323.0
ID_101604,1,38,1076462.0
ID_117395,73,16,500797.0
ID_116863,67,20,469278.0
ID_108213,149,7,253135.0
ID_101092,4,44,885891.0
ID_113884,179,5,223704.0
ID_106311,13,1,44093.0
ID_109012,196,5,326652.0
ID_100351,8,44,938589.0
ID_114782,136,5,279051.0
ID_101530,2,41,1054400.0
ID_113591,176,9,271748.0
ID_115215,48,22,484114.0
ID_111540,105,11,304290.0
ID_100218,5,28,980606.0
ID_106813,3,2,32350.0
ID_105357,5,1,41233.0
ID_115729,53,16,545565.0
ID_113043,182,6,281540.0
ID_101453,4,45,861291.0
ID_114932,166,5,354658.0
ID_104740,13,3,38608.0
ID_102814,4,38,944654.0
ID_107886,4,2,32152.0
ID_104973,11,1,39551.0
ID_101182,5,40,884199.0
ID_110035,206,5,314705.0
ID_103947,11,3,38800.0
ID_103189,5,3,36662.0
ID_114480,135,6,314330.0
ID_119826,57,19,617828.0
ID_109623,136,10,311181.0
ID_101006,5,54,961523.0
ID_102325,13,27,1134235.0
ID_110645,135,5,324104.0
ID_119523,67,18,563848.0
ID_117725,27,13,597029.0
ID_105743,7,1,35614.0
ID_112680,170,4,333278.0
ID_114583,138,6,218620.0
ID_119257,59,26,447987.0
ID_111881,182,6,230598.0
ID_101027,8,36,979289.0
ID_104069,12,2,41373.0
ID_118572,52,23,569941.0
ID_114652,163,2,335661.0
ID_106650,3,3,35830.0
ID_115783,51,16,482722.0
ID_117648,39,14,566334.0
ID_104622,3,2,46428.0
ID_110385,173,9,419228.0
ID_113670,109,3,275292.0
ID_114046,183,6,310069.0
ID_101962,8,35,1123955.0
ID_119874,65,20,538896.0
ID_101599,9,47,1040394.0
ID_109675,184,6,291652.0
ID_110952,173,5,298981.0
ID_104333,13,2,38074.0
ID_112099,175,6,291800.0
ID_106955,5,3,46321.0
ID_118821,58,19,482426.0
ID_108545,139,6,241519.0
ID_115974,50,23,508584.0
ID_113722,146,7,300379.0
ID_100695,4,41,1018868.0
ID_115630,32,14,487393.0
ID_113589,172,3,305922.0
ID_114521,175,7,374810.0
ID_119917,53,13,633823.0
ID_109770,155,7,323245.0
ID_113377,135,7,286152.0
ID_101034,1,35,1101437.0
ID_110842,233,5,344232.0
ID_116592,44,20,623961.0
ID_110421,147,8,295716.0
ID_110979,178,4,288520.0
ID_102127,1,40,856875.0
ID_112187,135,6,311130.0
ID_105970,6,3,39979.0
ID_113225,149,7,249952.0
ID_100993,4,44,870208.0
ID_115084,45,12,617329.0
ID_114845,159,7,297740.0
ID_114945,166,5,337227.0
ID_100447,6,45,1131005.0
ID_117277,52,20,576366.0
ID_105453,13,1,51037.0
ID_103211,8,5,40796.0
ID_105561,5,3,44519.0
ID_118911,73,18,510471.0
ID_103210,12,2,48729.0
ID_113813,184,6,361342.0
ID_108966,129,5,352607.0
ID_117653,63,18,532525.0
ID_110649,218,6,220200.0
ID_119714,37,18,513449.0
ID_103971,5,2,34708.0
ID_110807,135,7,336063.0
ID_119544,74,16,524072.0
ID_111366,147,12,343187.0
ID_103778,12,3,53760.0
ID_113079,188,7,298691.0
ID_106352,8,4,43602.0
ID_104007,5,5,38874.0
ID_103776,5,4,37373.0
ID_117147,33,18,419113.0
ID_114104,160,6,334073.0
ID_119145,57,24,554473.0
ID_119183,48,14,549197.0
ID_108426,133,11,238702.0
ID_104337,6,4,35489.0
ID_108117,154,4,322563.0
ID_107763,6,2,32291.0
ID_114012,196,4,321710.0
ID_113651,157,6,325468.0
ID_100438,5,36,813227.0
ID_116533,59,10,634225.0
ID_103269,2,4,42476.0
ID_103752,3,1,34795.0
ID_109113,125,5,356756.0
ID_109440,187,7,315550.0
ID_101739,3,36,993625.0
ID_100606,1,28,1045902.0
ID_117085,59,24,391932.0
ID_112998,138,8,281233.0
ID_116972,56,14,583690.0
ID_118366,55,13,505117.0
ID_115683,41,24,489238.0
ID_111037,139,3,386818.0
ID_105746,11,5,37095.0
ID_111584,165,4,366702.0
ID_106270,2,3,45177.0
ID_108851,186,6,306218.0
ID_118408,63,12,673438.0
ID_106600,11,1,31366.0
ID_111378,202,7,345095.0
ID_117189,42,18,572695.0
ID_111605,125,7,303760.0
ID_106909,13,4,37798.0
ID_100738,3,32,1063701.0
ID_101994,6,35,1075078.0
ID_100119,4,40,1035577.0
ID_114926,148,6,306471.0
ID_117609,34,17,547215.0
ID_117436,65,16,517615.0
ID_118553,47,18,556321.0
ID_107293,5,3,54834.0
ID_103405,6,1,50021.0
ID_110537,123,7,342012.0
ID_118466,57,16,552296.0
ID_108626,147,5,288241.0
ID_103481,1,5,31596.0
ID_117818,59,15,557607.0
ID_100127,8,36,1012900.0
ID_113426,164,9,318703.0
ID_110610,108,5,321245.0
ID_115273,65,19,649434.0
ID_119580,65,25,598190.0
ID_119285,65,18,577379.0
ID_112822,185,9,346839.0
ID_103073,2,4,45758.0
ID_102380,7,34,1083515.0
ID_102483,1,29,955242.0
ID_103461,8,5,32902.0
ID_115231,36,28,490713.0
ID_107458,1,3,37081.0
ID_115884,54,14,465380.0
ID_106885,3,5,38726.0
ID_115097,52,16,498453.0
ID_118684,46,23,455760.0
ID_114970,224,13,312867.0
ID_100803,4,39,986245.0
ID_100474,4,41,1019624.0
ID_108608,204,4,273919.0
ID_106482,13,4,40580.0
ID_118287,44,22,582555.0
ID_105557,6,3,39314.0
ID_113948,138,4,247851.0
ID_108891,150,7,287368.0
ID_112521,132,7,298276.0
ID_104448,12,2,36586.0
ID_100484,4,48,1030869.0
ID_110422,176,7,313228.0
ID_119411,44,15,512600.0
ID_114900,149,6,307457.0
ID_111226,194,6,263214.0
ID_119132,47,16,452530.0
ID_107920,4,3,38645.0
ID_107911,13,3,41660.0
ID_102766,4,38,1017045.0
ID_114865,157,7,341755.0
ID_116506,38,19,647085.0
ID_111688,196,7,311140.0
ID_104037,5,4,52130.0
ID_100856,1,40,984232.0
ID_116136,46,19,522319.0
ID_108830,122,4,316324.0
ID_108803,114,2,335458.0
ID_111838,161,4,279423.0
ID_103826,7,2,43483.0
ID_118127,52,11,539808.0
ID_105995,1,1,39982.0
ID_100503,7,30,1002014.0
ID_102959,7,38,962706.0
ID_107988,3,4,48636.0
ID_109640,142,7,312884.0
ID_108109,170,8,277778.0
ID_105382,10,4,45252.0
ID_113951,153,10,362817.0
ID_113138,74,7,256765.0
ID_117987,41,25,486694.0
ID_113435,105,5,333211.0
ID_107725,13,4,31477.0
ID_112033,136,7,349039.0
ID_108129,203,3,291444.0
ID_112787,145,8,279009.0
ID_108292,161,5,357534.0
ID_118321,48,15,580262.0
ID_113060,155,7,280982.0
ID_103295,12,2,43095.0
ID_108957,158,6,344289.0
ID_100115,9,32,890083.0
ID_105647,6,3,47233.0
ID_112624,121,5,376623.0
ID_114747,210,6,292622.0
ID_107181,13,4,52476.0
ID_101710,1,36,989792.0
ID_115957,53,22,563950.0
ID_105817,7,3,36913.0
ID_115278,53,24,544337.0
ID_102480,2,36,876650.0
ID_110250,137,6,332833.0
ID_104032,10,1,38515.0
ID_113347,153,12,312669.0
ID_116530,58,27,552191.0
ID_109514,191,3,392988.0
ID_104610,12,4,35757.0
ID_105117,4,1,45219.0
ID_116946,59,17,628257.0
ID_106385,8,2,40701.0
ID_115139,36,22,501007.0
ID_106271,12,3,42356.0
ID_100341,3,33,1053194.0
ID_100828,6,34,912866.0
ID_112529,169,9,333995.0
ID_111551,170,5,338391.0
ID_109527,157,5,258959.0
ID_111836,184,5,288040.0
ID_100313,14,41,1137978.0
ID_111697,148,6,278896.0
ID_110051,176,3,312530.0
ID_112863,145,4,283618.0
ID_116070,43,12,601098.0
ID_117136,16,13,559750.0
ID_118261,43,22,551732.0
ID_104909,4,2,40154.0
ID_117796,35,11,470755.0
ID_108873,73,8,278432.0
ID_118285,72,20,611145.0
ID_100409,1,34,1069653.0
ID_103795,8,6,50910.0
ID_102703,1,37,835751.0
ID_110342,146,8,247190.0
ID_104981,12,1,46857.0
ID_108582,190,3,360254.0
ID_107667,6,4,30993.0
ID_117517,58,21,680742.0
ID_117183,35,19,628099.0
ID_109725,175,6,322969.0
ID_118153,24,23,568603.0
ID_107499,2,2,44713.0
ID_117036,30,20,671567.0
ID_107720,8,3,38531.0
ID_101905,1,38,928815.0
ID_106717,13,2,41030.0
ID_102174,2,35,858677.0
ID_106769,5,4,45616.0
ID_107161,5,4,54649.0
ID_106504,13,3,45976.0
ID_118765,48,13,539695.0
ID_104420,12,6,35171.0
ID_101272,7,36,998779.0
ID_100451,4,41,875046.0
ID_103519,5,5,35462.0
ID_117477,73,21,399068.0
ID_109567,171,7,284657.0
ID_100247,14,38,1005537.0
ID_117815,36,18,522624.0
ID_101747,2,38,927644.0
ID_102085,3,41,1008983.0
ID_112492,137,6,314170.0
ID_113351,168,6,235364.0
ID_104974,12,4,45440.0
ID_103498,5,1,48087.0
ID_113442,184,2,311393.0
ID_101084,12,35,860028.0
ID_104935,7,3,44698.0
ID_106237,4,2,42976.0
ID_106734,7,1,21315.0
ID_112983,191,7,290339.0
ID_114249,198,5,341730.0
ID_111982,172,3,249580.0
ID_105922,3,2,38817.0
ID_117268,32,19,478038.0
ID_108948,200,6,368023.0
ID_119450,31,19,544743.0
ID_104149,7,6,40483.0
ID_105099,9,3,52332.0
ID_109512,184,5,306829.0
ID_113259,149,2,363944.0
ID_117360,62,26,496497.0
ID_117037,48,20,436301.0
ID_103335,9,3,34387.0
ID_117585,59,16,559463.0
ID_119819,48,20,500581.0
ID_113728,110,3,264335.0
ID_109893,171,6,282811.0
ID_107650,1,1,39643.0
ID_102238,1,37,926977.0
ID_114204,144,4,278444.0
ID_100251,2,30,971798.0
ID_108196,173,7,359843.0
ID_104706,11,6,53992.0
ID_108143,182,5,269475.0
ID_102714,1,30,938670.0
ID_118079,41,16,422950.0
ID_109529,122,7,387743.0
ID_110341,180,7,408874.0
ID_115290,33,18,658183.0
ID_100326,4,40,994134.0
ID_104980,3,1,51706.0
ID_107438,5,3,47222.0
ID_106647,3,2,33901.0
ID_106258,2,3,44554.0
ID_109047,120,7,224066.0
ID_103393,6,2,35633.0
ID_117664,33,25,517339.0
ID_119414,37,16,592568.0
ID_116117,57,21,615617.0
ID_101337,5,32,948473.0
ID_103168,4,3,34158.0
ID_112860,178,7,360493.0
ID_119814,44,15,643824.0
ID_102393,1,45,1079280.0
ID_119915,33,17,552170.0
ID_115179,43,13,667010.0
ID_105923,9,2,40266.0
ID_116297,52,21,598108.0
ID_102743,1,31,979669.0
ID_105005,2,3,27790.0
ID_118716,59,19,419255.0
ID_119613,45,19,620764.0
ID_111643,96,6,333555.0
ID_104119,9,1,50410.0
ID_102090,6,30,780253.0
ID_107443,10,2,44429.0
ID_108731,192,8,319133.0
ID_114404,165,8,313419.0
ID_105702,2,4,54832.0
ID_103800,6,2,34695.0
ID_111419,154,6,271195.0
ID_102008,1,33,1126760.0
ID_101493,1,30,1074118.0
ID_109282,146,8,238780.0
ID_107789,12,3,44093.0
ID_103848,3,4,36718.0
ID_115650,49,20,427818.0
ID_119143,61,15,574432.0
ID_118551,33,29,617960.0
ID_119249,62,17,520859.0
ID_104194,10,7,32557.0
ID_101512,13,41,892377.0
ID_102748,7,41,1068743.0
ID_118211,53,17,463888.0
ID_103733,12,3,25888.0
ID_107654,5,3,36279.0
ID_102346,5,41,945683.0
ID_102519,6,38,929984.0
ID_100718,1,33,937134.0
ID_100139,15,33,928292.0
ID_117947,37,21,597535.0
ID_117762,62,17,537283.0
ID_102444,3,48,929467.0
ID_105198,7,5,46758.0
ID_101402,1,37,863683.0
ID_116321,40,12,567450.0
ID_101730,2,34,841271.0
ID_109260,195,7,293283.0
ID_103721,8,1,50595.0
ID_117840,45,22,581769.0
ID_119736,38,19,599387.0
ID_108121,160,5,280387.0
ID_109531,121,9,347432.0
ID_117730,38,21,637585.0
ID_118906,51,21,507364.0
ID_114283,171,4,321020.0
ID_104074,4,1,35228.0
ID_109049,164,6,312953.0
ID_106438,5,2,30059.0
ID_102267,5,43,1093016.0
ID_102830,3,41,901215.0
ID_110495,136,6,296175.0
ID_114177,165,7,333573.0
ID_112291,136,5,305752.0
ID_108366,158,7,343615.0
ID_116894,53,22,629582.0
ID_108466,132,5,314129.0
ID_102932,1,45,1067188.0
ID_113784,162,3,277464.0
ID_116075,73,16,578551.0
ID_112950,168,8,235485.0
ID_102946,3,47,1013213.0
ID_117514,57,18,504701.0
ID_111292,172,7,328454.0
ID_119606,48,25,481853.0
ID_109390,187,6,364760.0
ID_109293,159,7,278283.0
ID_117747,49,23,387385.0
ID_106162,10,3,46616.0
ID_109758,184,3,266186.0
ID_108544,194,6,309887.0
ID_102579,5,41,944762.0
ID_104387,10,4,34659.0
ID_111225,189,8,312592.0
ID_118149,46,22,549524.0
ID_104832,1,2,49114.0
ID_109391,177,6,275019.0
ID_106705,4,2,45149.0
ID_116192,43,14,571720.0
ID_102626,1,35,936263.0
ID_109098,126,5,356371.0
ID_110872,206,3,285693.0
ID_106888,6,4,53683.0
ID_119364,47,16,544722.0
ID_105687,2,3,49439.0
ID_104949,6,1,41362.0
ID_114306,133,8,279784.0
ID_111330,190,6,291533.0
ID_119490,45,15,466568.0
ID_101805,6,35,980171.0
ID_113811,160,2,312651.0
ID_111997,199,12,312748.0
ID_116480,41,20,467263.0
ID_108508,178,6,307292.0
ID_119715,42,28,418772.0
ID_108575,149,6,336743.0
ID_104877,8,3,35168.0
ID_110879,174,4,327061.0
ID_101147,5,31,1093161.0
ID_106076,7,1,37972.0
ID_106309,11,4,45430.0
ID_106210,11,5,32778.0
ID_116879,35,18,554209.0
ID_105714,10,3,42610.0
ID_115992,44,17,519523.0
ID_115143,61,15,528389.0
ID_113302,178,3,374662.0
ID_100424,1,36,994975.0
ID_107360,7,6,29278.0
ID_119416,64,21,448362.0
ID_107241,10,2,35140.0
ID_115703,33,18,533803.0
ID_109995,107,10,323536.0
ID_115486,54,18,741053.0
ID_102177,5,39,1181096.0
ID_107051,10,1,42328.0
ID_106405,10,3,50303.0
ID_105351,12,5,49537.0
ID_112906,170,4,258544.0
ID_101606,1,45,1077571.0
ID_103062,7,2,42207.0
ID_117402,51,11,500801.0
ID_103488,12,5,43467.0
ID_104201,10,3,34821.0
ID_118505,41,13,491889.0
ID_117687,43,21,655549.0
ID_116598,63,15,583239.0
ID_102805,16,38,999197.0
ID_112349,147,5,251813.0
ID_118689,27,20,579786.0
ID_106248,2,1,35858.0
ID_109704,171,7,341236.0
ID_106914,13,2,33565.0
ID_114037,197,8,320008.0
ID_104031,3,3,59254.0
ID_104449,6,1,56349.0
ID_111262,156,2,267548.0
ID_118576,52,24,591441.0
ID_103528,6,4,49500.0
ID_118787,63,12,633047.0
ID_115569,50,22,427480.0
ID_117682,47,27,618262.0
ID_102319,3,36,929402.0
ID_112783,120,4,386496.0
ID_108099,143,6,342033.0
ID_103509,5,4,44950.0
ID_111340,219,12,237279.0
ID_108165,160,7,251841.0
ID_105394,1,2,43120.0
ID_108025,171,5,332590.0
ID_104393,1,2,29077.0
ID_104590,4,2,33522.0
ID_116144,33,19,607260.0
ID_101052,12,30,1023354.0
ID_110330,79,8,326804.0
ID_116861,32,17,483145.0
ID_102578,2,49,953462.0
ID_110504,155,8,333400.0
ID_119882,47,22,589708.0
ID_108352,104,4,312579.0
ID_117458,42,17,632411.0
ID_119375,52,14,471452.0
ID_104724,9,4,50412.0
ID_118918,49,14,495353.0
ID_102232,10,43,1134078.0
ID_102777,1,36,936754.0
ID_115131,51,17,513115.0
ID_101290,3,35,1030763.0
ID_114761,134,12,273313.0
ID_102207,8,35,1029517.0
ID_103449,7,4,41956.0
ID_115249,26,18,506173.0
ID_109509,142,3,254288.0
ID_103035,11,3,42217.0
ID_116262,31,14,493613.0
ID_116817,50,21,462002.0
ID_115337,45,16,565432.0
ID_110182,157,6,305588.0
ID_102998,2,45,999634.0
ID_106759,13,8,32462.0
ID_102265,4,35,1017197.0
ID_107337,7,1,43704.0
ID_110676,183,7,259467.0
ID_104505,4,3,39151.0
ID_118426,28,15,424547.0
ID_119201,57,14,508613.0
ID_106692,7,2,48105.0
ID_114801,214,3,321441.0
ID_114030,182,7,341768.0
ID_103106,9,2,41994.0
ID_100221,4,34,924996.0
ID_118356,62,15,611630.0
ID_111825,165,3,343448.0
ID_103050,12,4,59995.0
ID_104285,9,6,36722.0
ID_117541,89,18,630654.0
ID_112246,159,9,341787.0
ID_100210,4,35,1031739.0
ID_118238,64,17,572906.0
ID_101911,9,47,1079461.0
ID_100499,18,35,1035539.0
ID_104999,8,3,33426.0
ID_117917,52,20,557864.0
ID_117266,44,22,652895.0
ID_108748,146,5,283556.0
ID_113683,155,9,302760.0
ID_100180,2,35,973270.0
ID_118926,41,17,528002.0
ID_113684,148,5,278674.0
ID_112000,134,8,281800.0
ID_118842,50,15,570013.0
ID_111794,163,8,303841.0
ID_107267,8,3,35524.0
ID_102420,1,38,1009975.0
ID_115825,56,10,448817.0
ID_118202,25,16,600517.0
ID_115634,29,20,501005.0
ID_114888,143,3,323571.0
ID_100466,2,54,1190361.0
ID_115057,29,18,604634.0
ID_100059,2,39,1044096.0
ID_104202,13,2,56152.0
ID_118076,48,19,516082.0
ID_107484,13,7,47006.0
ID_101580,2,35,1098973.0
ID_107284,3,1,44556.0
ID_119827,50,16,555816.0
ID_116233,63,22,612294.0
ID_109393,173,9,238760.0
ID_102698,6,42,1091602.0
ID_104564,4,3,51028.0
ID_111403,204,8,336047.0
ID_104199,13,3,47444.0
ID_119838,45,15,611882.0
ID_114902,158,8,257080.0
ID_107157,1,1,48000.0
ID_102973,6,43,998540.0
ID_107841,13,1,33374.0
ID_114766,170,5,278921.0
ID_113634,145,2,370113.0
ID_107695,11,3,49561.0
ID_105934,7,5,51707.0
ID_113875,141,2,245825.0
ID_117225,55,17,538653.0
ID_105215,8,2,39119.0
ID_111432,172,5,393109.0
ID_111165,174,8,383746.0
ID_111365,106,5,326839.0
ID_106626,8,1,39838.0
ID_103595,8,1,26309.0
ID_113085,143,6,326068.0
ID_105272,13,3,32915.0
ID_105627,10,2,51248.0
ID_112010,194,7,316948.0
ID_114841,161,6,286369.0
ID_110072,192,6,271914.0
ID_114751,167,7,354418.0
ID_107324,3,5,50954.0
ID_108632,215,10,420554.0
ID_114108,179,3,307081.0
ID_101297,1,26,1078077.0
ID_110366,158,6,322444.0
ID_113248,131,3,306453.0
ID_100200,5,40,905232.0
ID_101456,5,33,914943.0
ID_110559,158,8,365177.0
ID_109800,231,5,293724.0
ID_108453,146,4,266425.0
ID_109651,88,7,323339.0
ID_108892,164,6,256599.0
ID_118544,50,15,585119.0
ID_110263,172,4,358747.0
ID_101202,1,43,921358.0
ID_115967,46,15,637552.0
ID_103643,2,4,55718.0
ID_110990,145,6,307408.0
ID_110723,85,6,266755.0
ID_110356,146,3,246902.0
ID_103128,2,2,39368.0
ID_104351,3,2,37114.0
ID_119402,56,15,570168.0
ID_115878,59,17,605743.0
ID_103011,6,3,33938.0
ID_105090,5,2,41731.0
ID_117107,52,16,588116.0
ID_102621,9,37,834784.0
ID_101534,3,41,1043771.0
ID_118178,59,18,535057.0
ID_103836,12,1,51295.0
ID_117766,66,22,596493.0
ID_111520,171,4,287675.0
ID_116080,27,29,504383.0
ID_115859,46,18,619961.0
ID_108550,107,6,365195.0
ID_115662,39,19,525206.0
ID_105129,3,3,42932.0
ID_114008,167,6,341670.0
ID_103352,7,2,47916.0
ID_113454,159,7,224778.0
ID_113758,208,3,362148.0
ID_104903,6,2,35023.0
ID_102930,4,35,1045351.0
ID_101087,1,41,932512.0
ID_115244,51,18,640916.0
ID_112088,118,6,383371.0
ID_104884,10,4,38822.0
ID_114633,124,4,311232.0
ID_107947,8,3,46402.0
ID_116823,22,11,468389.0
ID_115819,62,14,505787.0
ID_105391,5,7,35462.0
ID_107245,9,4,34144.0
ID_115682,32,20,458813.0
ID_106279,2,3,48469.0
ID_105194,6,5,39510.0
ID_114222,134,9,326389.0
ID_117121,73,22,423696.0
ID_119672,67,18,506479.0
ID_117185,71,23,588081.0
ID_101729,4,43,869306.0
ID_119914,31,16,588956.0
ID_119841,58,20,572672.0
ID_113336,158,9,348246.0
ID_103310,4,1,40782.0
ID_112571,166,10,283731.0
ID_103415,11,3,43597.0
ID_105861,13,5,43286.0
ID_115237,57,19,626707.0
ID_106259,7,4,49238.0
ID_109619,201,7,298869.0
ID_105863,1,3,27801.0
ID_109806,130,4,304661.0
ID_105849,2,4,45128.0
ID_102754,10,36,693237.0
ID_113643,163,8,310671.0
ID_110192,174,5,350933.0
ID_108035,141,9,376866.0
ID_116836,39,14,530813.0
ID_115027,54,11,624937.0
ID_110761,84,3,370968.0
ID_107375,10,3,46831.0
ID_110709,205,5,242592.0
ID_105998,3,5,48835.0
ID_112264,153,6,387681.0
ID_119733,39,15,549668.0
ID_119732,55,12,545422.0
ID_101282,4,37,1165541.0
ID_105290,2,3,37041.0
ID_110784,143,8,343887.0
ID_111067,178,5,268304.0
ID_119688,43,17,545428.0
ID_104021,5,4,39468.0
ID_116141,32,15,477548.0
ID_106826,4,4,48716.0
ID_118361,40,16,538683.0
ID_112084,181,9,228815.0
ID_111051,180,5,371034.0
ID_108331,166,8,274957.0
ID_110078,133,2,248601.0
ID_108993,168,3,313928.0
ID_109818,121,2,276075.0
ID_116874,41,21,580223.0
ID_110646,164,7,344860.0
ID_113993,139,3,286403.0
ID_119989,46,11,595592.0
